state,city,zipcode
Maryland,Annapolis,21401
Maryland,Annapolis,21402
Maryland,Annapolis,21403
Maryland,Annapolis,21404
Maryland,Annapolis,21405
Maryland,Baltimore,21201
Maryland,Baltimore,21202
Maryland,Baltimore,21203
Maryland,Baltimore,21204
Maryland,Baltimore,21205
Maryland,Frederick,21701
Maryland,Frederick,21702
Maryland,Frederick,21703
Maryland,Frederick,21704
Maryland,Frederick,21705
Maryland,Hagerstown,21740
Maryland,Hagerstown,21741
Maryland,Hagerstown,21742
Maryland,Hagerstown,21743
Maryland,Hagerstown,21744
Maryland,Rockville,20850
Maryland,Rockville,20851
Maryland,Rockville,20852
Maryland,Rockville,20853
Maryland,Rockville,20854
Utah,Salt Lake City,84101
Utah,Salt Lake City,84102
Utah,Salt Lake City,84103
Utah,Salt Lake City,84104
Utah,Salt Lake City,84105
Utah,Provo,84601
Utah,Provo,84602
Utah,Provo,84603
Utah,Provo,84604
Utah,Provo,84606
Utah,Orem,84057
Utah,Orem,84058
Utah,Orem,84059
Utah,Orem,84097
Utah,Orem,84098
Utah,Layton,84040
Utah,Layton,84041
Utah,Layton,84042
Utah,Layton,84043
Utah,Layton,84044
Utah,Ogden,84401
Utah,Ogden,84402
Utah,Ogden,84403
Utah,Ogden,84404
Utah,Ogden,84405
Montana,Billings,59101
Montana,Billings,59102
Montana,Billings,59105
Montana,Billings,59106
Montana,Billings,59107
Montana,Missoula,59801
Montana,Missoula,59802
Montana,Missoula,59803
Montana,Missoula,59804
Montana,Missoula,59808
Montana,Great Falls,59401
Montana,Great Falls,59404
Montana,Great Falls,59405
Montana,Great Falls,59406
Montana,Great Falls,59407
Montana,Bozeman,59715
Montana,Bozeman,59717
Montana,Bozeman,59718
Montana,Bozeman,59719
Montana,Bozeman,59771
Florida,Miami,33101
Florida,Miami,33102
Florida,Miami,33125
Florida,Miami,33126
Florida,Miami,33127
Florida,Orlando,32801
Florida,Orlando,32803
Florida,Orlando,32804
Florida,Orlando,32805
Florida,Orlando,32806
Florida,Tampa,33601
Florida,Tampa,33602
Florida,Tampa,33603
Florida,Tampa,33604
Florida,Tampa,33605
Florida,Jacksonville,32202
Florida,Jacksonville,32204
Florida,Jacksonville,32205
Florida,Jacksonville,32206
Florida,Jacksonville,32207
Florida,Fort Lauderdale,33301
Florida,Fort Lauderdale,33304
Florida,Fort Lauderdale,33305
Florida,Fort Lauderdale,33306
Florida,Fort Lauderdale,33308
